time,pos,delta
23.54100326,297.5238342,7.080688477
23.55198423,297.3066101,7.079833984
23.56407447,297.0899658,7.081573486
23.57604692,296.8748779,7.083679199
23.58804067,296.664032,7.081359863
23.60002501,296.454071,7.07699585
23.61203266,296.2392273,7.073974609
23.62401452,296.0227356,7.072723389
23.63601496,295.8062744,7.077758789
23.64698943,295.5939331,7.081939697
23.65904061,295.3831177,7.080413818
23.67103651,295.1668396,7.080688477
23.68301873,294.9503174,7.080596924
23.69501616,294.7335815,7.083129883
23.70702919,294.5212402,7.083404541
23.71904417,294.3106689,7.078887939
23.73102275,294.0989685,7.074890137
23.74204649,293.8833313,7.071838379
23.75405171,293.6659851,7.074157715
23.76604954,293.4515076,7.080169678
23.77803422,293.2403564,7.081390381
23.79003856,293.0273132,7.081176758
23.8019958,292.8103333,7.080322266
23.81403266,292.5941772,7.082061768
23.82602086,292.3789368,7.084228516
23.83700534,292.168457,7.081420898
23.84904117,291.958374,7.077453613
23.86103354,291.7449036,7.073699951
23.87304148,291.5288696,7.072174072
23.88501204,291.3127747,7.076843262
23.89702125,291.0995178,7.081970215
23.90898482,290.887207,7.080505371
23.92102058,290.6712646,7.080841064
23.93204599,290.4547119,7.080993652
23.94405157,290.2380981,7.083068848
23.95602768,290.0256042,7.08303833
23.96804806,289.8158569,7.07925415
23.98003312,289.6037903,7.075408936
23.9920022,289.3877869,7.071807861
24.0040207,289.170929,7.07421875
24.01602559,288.9564209,7.080230713
24.02802994,288.7450867,7.080932617
24.03904017,288.532196,7.0809021
24.05104604,288.3152466,7.079833984
24.0630243,288.0986023,7.081207275
24.07499744,287.8833008,7.083709717
24.08703097,287.6730347,7.081451416
24.09902817,287.4620056,7.07824707
24.11101219,287.2479858,7.073364258
24.12204659,287.0320129,7.072479248
24.13404897,286.8159485,7.077178955
24.14604565,286.6027222,7.081298828
24.15804227,286.3913879,7.07989502
24.17004357,286.1758728,7.080108643
24.18205802,285.9589233,7.080596924
24.19403673,285.7423401,7.082580566
24.20600883,285.5298157,7.083099365
24.21700749,285.3191833,7.079742432
24.22903987,285.1073608,7.0753479
24.24104232,284.8920898,7.07131958
24.25302256,284.6754456,7.074005127
24.26504293,284.4613342,7.078979492
24.2770298,284.2496948,7.079925537
24.2890121,284.0368958,7.080505371
24.30100841,283.8204651,7.079559326
24.31205051,283.6041565,7.081054688
24.32405138,283.3893738,7.082824707
24.33609362,283.178772,7.081695557
24.34803835,282.9682617,7.077392578
24.36003777,282.7546387,7.072631836
24.37217579,282.5395508,7.071411133
24.38409349,282.3238525,7.075775146
24.39517714,282.1108704,7.079650879
24.40711528,281.8988342,7.078338623
24.41918427,281.6828918,7.07925415
24.43112287,281.46698,7.079620361
24.44316513,281.2504578,7.081359863
24.455056,281.0381165,7.080505371
24.46703114,280.828125,7.078552246
24.47902015,280.6168213,7.074645996
24.49003833,280.4013062,7.070159912
24.50203615,280.1853333,7.072723389
24.51407149,279.9707947,7.077362061
24.52604491,279.7585754,7.078613281
24.53804549,279.5455627,7.078918457
24.55003781,279.3287354,7.078491211
24.56200505,279.1118469,7.079650879
24.57404972,278.8971863,7.080657959
24.58506325,278.686615,7.080047607
24.59705538,278.4758606,7.076477051
24.60904495,278.2620239,7.071075439
24.62103729,278.0462646,7.069976807
24.63303296,277.8305359,7.074127197
24.64499379,277.6170044,7.077880859
24.6570156,277.4050903,7.077423096
24.66900668,277.190155,7.077545166
24.68004072,276.9730835,7.078094482
24.69203137,276.7564087,7.07925415
24.70402461,276.5440979,7.078918457
24.7160432,276.3336792,7.07723999
24.72803731,276.1220398,7.073028564
24.74003298,275.9070129,7.067993164
24.75203384,275.690979,7.070556641
24.76405248,275.4759827,7.074798584
24.77507518,275.2639465,7.07623291
24.78703662,275.0513611,7.077087402
24.7990592,274.8349915,7.07611084
24.81107995,274.6173401,7.077331543
24.82303541,274.4029846,7.078125
24.83505784,274.1923523,7.078155518
24.84703062,273.9812927,7.074066162
24.8590067,273.7678223,7.068481445
24.87003909,273.5527954,7.066986084
24.8820555,273.3370667,7.070617676
24.89405617,273.1235657,7.074401855
24.90609283,272.911438,7.074279785
24.918152,272.6970825,7.074249268
24.93014125,272.4807129,7.074676514
24.94207761,272.2643433,7.075317383
24.95304875,272.0510254,7.075317383
24.9650835,271.8399353,7.073638916
24.97715038,271.6286011,7.069549561
24.98906172,271.4136963,7.06439209
25.00105506,271.1973877,7.066101074
25.01302702,270.9823303,7.070007324
25.02509327,270.7697144,7.07244873
25.03721815,270.5570984,7.073181152
25.04910905,270.3408508,7.071868896
25.06007561,270.1244812,7.072570801
25.07202899,269.9096985,7.073242188
25.08412175,269.6985474,7.073303223
25.09617189,269.4870911,7.069641113
25.10816858,269.2738342,7.063201904
25.12010001,269.0582275,7.062225342
25.13214951,268.8424683,7.065704346
25.14402601,268.6288757,7.069488525
25.15508724,268.4167175,7.07043457
25.16711149,268.2028503,7.069763184
25.17912089,267.9865112,7.069519043
25.19108882,267.7702026,7.070007324
25.20310265,267.5571594,7.070556641
25.21516794,267.3455505,7.069732666
25.22710147,267.1337891,7.065490723
25.23811915,266.9191589,7.059967041
25.25012023,266.7033691,7.061309814
25.26209578,266.4878235,7.064880371
25.27508578,266.2756653,7.067993164
25.28608558,266.0634155,7.068969727
25.29804398,265.8471985,7.067382813
25.31008438,265.6311035,7.067260742
25.32208349,265.4160156,7.068206787
25.33312143,265.2041321,7.069366455
25.34510993,264.992218,7.065979004
25.35709152,264.7794495,7.059539795
25.36904581,264.5648804,7.05770874
25.3810425,264.3488464,7.0597229
25.39299894,264.1347961,7.063598633
25.40504196,263.9223022,7.065460205
25.41715559,263.7084656,7.065124512
25.42808465,263.4920654,7.064086914
25.44007814,263.2759094,7.064117432
25.45205807,263.0626221,7.065887451
25.46406743,262.8503113,7.064910889
25.4761157,262.638855,7.061431885
25.48811164,262.4250793,7.055541992
25.5000519,262.2093506,7.055847168
25.51213624,261.9940186,7.05871582
25.52316991,261.7814636,7.061920166
25.53512239,261.5687561,7.062896729
25.54710291,261.3526611,7.061309814
25.55905281,261.1368103,7.060760498
25.57104752,260.921814,7.061523438
25.58307977,260.7102356,7.062438965
25.59505175,260.4977722,7.06036377
25.60710094,260.2851563,7.054534912
25.61805298,260.0706177,7.051849365
25.63005381,259.8547974,7.053222656
25.64207507,259.6404419,7.05670166
25.65411304,259.428009,7.058837891
25.66607347,259.214386,7.058288574
25.67809476,258.9977112,7.057128906
25.69008075,258.7819214,7.057006836
25.70208388,258.5693359,7.058197021
25.71317809,258.356842,7.058410645
25.72515171,258.144989,7.054504395
25.7371773,257.9310913,7.048461914
25.74909366,257.7157593,7.048095703
25.76111744,257.5001831,7.05065918
25.77310687,257.2872925,7.054077148
25.78505199,257.0751648,7.054534912
25.79702437,256.8588257,7.053192139
25.80902507,256.6420593,7.052337646
25.82102323,256.4275208,7.052734375
25.83203864,256.215332,7.054138184
25.8440145,256.0027771,7.052276611
25.85602828,255.7894135,7.046585083
25.86800608,255.5756226,7.043914795
25.88004399,255.3602295,7.044128418
25.89203275,255.1461182,7.047058105
25.90400735,254.9329529,7.049255371
